	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Temp

	#	s	V vs. Ref.	A	V	V	V	#	bits	deg C

	0	0,05	9,97968E-002	-6,82263E-006	0,00000E+000	1,00006E-001	0,00000E+000	7	...........	-32768,00

	1	0,1	1,00698E-001	-6,78086E-006	0,00000E+000	1,00994E-001	0,00000E+000	7	...........	-32768,00

	2	0,15	1,01799E-001	-6,73407E-006	0,00000E+000	1,01994E-001	0,00000E+000	7	...........	-32768,00

	3	0,2	1,02700E-001	-6,69097E-006	0,00000E+000	1,02994E-001	0,00000E+000	7	...........	-32768,00

	4	0,25	1,03801E-001	-6,64853E-006	0,00000E+000	1,03994E-001	0,00000E+000	7	...........	-32768,00

	5	0,3	1,04702E-001	-6,62514E-006	0,00000E+000	1,04994E-001	0,00000E+000	7	...........	-32768,00

	6	0,35	1,05803E-001	-6,58036E-006	0,00000E+000	1,05994E-001	0,00000E+000	7	...........	-32768,00

	7	0,4	1,06804E-001	-6,55430E-006	0,00000E+000	1,06994E-001	0,00000E+000	7	...........	-32768,00

	8	0,45	1,07704E-001	-6,51520E-006	0,00000E+000	1,07994E-001	0,00000E+000	7	...........	-32768,00

	9	0,5	1,08805E-001	-6,47911E-006	0,00000E+000	1,08994E-001	0,00000E+000	7	...........	-32768,00

	10	0,55	1,09806E-001	-6,43901E-006	0,00000E+000	1,09994E-001	0,00000E+000	7	...........	-32768,00

	11	0,6	1,10807E-001	-6,40794E-006	0,00000E+000	1,10995E-001	0,00000E+000	7	...........	-32768,00

	12	0,65	1,11708E-001	-6,39323E-006	0,00000E+000	1,11995E-001	0,00000E+000	7	...........	-32768,00

	13	0,7	1,12809E-001	-6,35848E-006	0,00000E+000	1,12995E-001	0,00000E+000	7	...........	-32768,00

	14	0,75	1,13810E-001	-6,32941E-006	0,00000E+000	1,13995E-001	0,00000E+000	7	...........	-32768,00

	15	0,8	1,14811E-001	-6,31404E-006	0,00000E+000	1,14995E-001	0,00000E+000	7	...........	-32768,00

	16	0,85	1,15812E-001	-6,28430E-006	0,00000E+000	1,15995E-001	0,00000E+000	7	...........	-32768,00

	17	0,9	1,16813E-001	-6,25590E-006	0,00000E+000	1,16995E-001	0,00000E+000	7	...........	-32768,00

	18	0,95	1,17814E-001	-6,22382E-006	0,00000E+000	1,17995E-001	0,00000E+000	7	...........	-32768,00

	19	1	1,18715E-001	-6,18873E-006	0,00000E+000	1,18995E-001	0,00000E+000	7	...........	-32768,00

	20	1,05	1,19716E-001	-6,15699E-006	0,00000E+000	1,19995E-001	0,00000E+000	7	...........	-32768,00

	21	1,1	1,20717E-001	-6,13660E-006	0,00000E+000	1,20995E-001	0,00000E+000	7	...........	-32768,00

	22	1,15	1,21818E-001	-6,10753E-006	0,00000E+000	1,21995E-001	0,00000E+000	7	...........	-32768,00

	23	1,2	1,22819E-001	-6,08949E-006	0,00000E+000	1,22996E-001	0,00000E+000	7	...........	-32768,00

	24	1,25	1,23720E-001	-6,07445E-006	0,00000E+000	1,23996E-001	0,00000E+000	7	...........	-32768,00

	25	1,3	1,24721E-001	-6,03134E-006	0,00000E+000	1,24996E-001	0,00000E+000	7	...........	-32768,00

	26	1,35	1,25722E-001	-6,02098E-006	0,00000E+000	1,25996E-001	0,00000E+000	7	...........	-32768,00

	27	1,4	1,26823E-001	-6,00695E-006	0,00000E+000	1,26996E-001	0,00000E+000	7	...........	-32768,00

	28	1,45	1,27724E-001	-5,97520E-006	0,00000E+000	1,27996E-001	0,00000E+000	7	...........	-32768,00

	29	1,5	1,28725E-001	-5,94480E-006	0,00000E+000	1,28996E-001	0,00000E+000	7	...........	-32768,00

	30	1,55	1,29826E-001	-5,92174E-006	0,00000E+000	1,29996E-001	0,00000E+000	7	...........	-32768,00

	31	1,6	1,30827E-001	-5,89968E-006	0,00000E+000	1,30996E-001	0,00000E+000	7	...........	-32768,00

	32	1,65	1,31828E-001	-5,87663E-006	0,00000E+000	1,31996E-001	0,00000E+000	7	...........	-32768,00

	33	1,7	1,32829E-001	-5,86092E-006	0,00000E+000	1,32996E-001	0,00000E+000	7	...........	-32768,00

	34	1,75	1,33830E-001	-5,82751E-006	0,00000E+000	1,33996E-001	0,00000E+000	7	...........	-32768,00

	35	1,8	1,34831E-001	-5,80311E-006	0,00000E+000	1,34997E-001	0,00000E+000	7	...........	-32768,00

	36	1,85	1,35831E-001	-5,81046E-006	0,00000E+000	1,35997E-001	0,00000E+000	7	...........	-32768,00

	37	1,9	1,36832E-001	-5,76268E-006	0,00000E+000	1,36997E-001	0,00000E+000	7	...........	-32768,00

	38	1,95	1,37733E-001	-5,76402E-006	0,00000E+000	1,37997E-001	0,00000E+000	7	...........	-32768,00

	39	2	1,38834E-001	-5,72225E-006	0,00000E+000	1,38997E-001	0,00000E+000	7	...........	-32768,00

	40	2,05	1,39735E-001	-5,71757E-006	0,00000E+000	1,39997E-001	0,00000E+000	7	...........	-32768,00

	41	2,1	1,40736E-001	-5,68148E-006	0,00000E+000	1,40997E-001	0,00000E+000	7	...........	-32768,00

	42	2,15	1,41737E-001	-5,66444E-006	0,00000E+000	1,41997E-001	0,00000E+000	7	...........	-32768,00

	43	2,2	1,42738E-001	-5,64573E-006	0,00000E+000	1,42997E-001	0,00000E+000	7	...........	-32768,00

	44	2,25	1,43739E-001	-5,62200E-006	0,00000E+000	1,43997E-001	0,00000E+000	7	...........	-32768,00

	45	2,3	1,44740E-001	-5,62300E-006	0,00000E+000	1,44997E-001	0,00000E+000	7	...........	-32768,00

	46	2,35	1,45841E-001	-5,58290E-006	0,00000E+000	1,45997E-001	0,00000E+000	7	...........	-32768,00

	47	2,4	1,46742E-001	-5,57789E-006	0,00000E+000	1,46997E-001	0,00000E+000	7	...........	-32768,00

	48	2,45	1,47943E-001	-5,55350E-006	0,00000E+000	1,47998E-001	0,00000E+000	7	...........	-32768,00

	49	2,5	1,48744E-001	-5,52944E-006	0,00000E+000	1,48998E-001	0,00000E+000	7	...........	-32768,00

	50	2,55	1,49745E-001	-5,51073E-006	0,00000E+000	1,49998E-001	0,00000E+000	7	...........	-32768,00

	51	2,6	1,50746E-001	-5,50805E-006	0,00000E+000	1,50998E-001	0,00000E+000	7	...........	-32768,00

	52	2,65	1,51847E-001	-5,48032E-006	0,00000E+000	1,51998E-001	0,00000E+000	7	...........	-32768,00

	53	2,7	1,52748E-001	-5,47497E-006	0,00000E+000	1,52998E-001	0,00000E+000	7	...........	-32768,00

	54	2,75	1,53749E-001	-5,44389E-006	0,00000E+000	1,53998E-001	0,00000E+000	7	...........	-32768,00

	55	2,8	1,54750E-001	-5,43354E-006	0,00000E+000	1,54998E-001	0,00000E+000	7	...........	-32768,00

	56	2,85	1,55851E-001	-5,42819E-006	0,00000E+000	1,55998E-001	0,00000E+000	7	...........	-32768,00

	57	2,9	1,56752E-001	-5,40847E-006	0,00000E+000	1,56998E-001	0,00000E+000	7	...........	-32768,00

	58	2,95	1,57753E-001	-5,39177E-006	0,00000E+000	1,57998E-001	0,00000E+000	7	...........	-32768,00

	59	3	1,58753E-001	-5,36871E-006	0,00000E+000	1,58998E-001	0,00000E+000	7	...........	-32768,00

	60	3,05	1,59855E-001	-5,34198E-006	0,00000E+000	1,59999E-001	0,00000E+000	7	...........	-32768,00

	61	3,1	1,60755E-001	-5,32627E-006	0,00000E+000	1,60999E-001	0,00000E+000	7	...........	-32768,00

	62	3,15	1,61856E-001	-5,32260E-006	0,00000E+000	1,61999E-001	0,00000E+000	7	...........	-32768,00

	63	3,2	1,62857E-001	-5,29486E-006	0,00000E+000	1,62999E-001	0,00000E+000	7	...........	-32768,00

	64	3,25	1,63758E-001	-5,28985E-006	0,00000E+000	1,63999E-001	0,00000E+000	7	...........	-32768,00

	65	3,3	1,64759E-001	-5,27815E-006	0,00000E+000	1,64999E-001	0,00000E+000	7	...........	-32768,00

	66	3,35	1,65760E-001	-5,26545E-006	0,00000E+000	1,65999E-001	0,00000E+000	7	...........	-32768,00

	67	3,4	1,66761E-001	-5,26078E-006	0,00000E+000	1,66999E-001	0,00000E+000	7	...........	-32768,00

	68	3,45	1,67862E-001	-5,22703E-006	0,00000E+000	1,67999E-001	0,00000E+000	7	...........	-32768,00

	69	3,5	1,68763E-001	-5,21867E-006	0,00000E+000	1,68999E-001	0,00000E+000	7	...........	-32768,00

	70	3,55	1,69864E-001	-5,19963E-006	0,00000E+000	1,69999E-001	0,00000E+000	7	...........	-32768,00

	71	3,6	1,70865E-001	-5,18893E-006	0,00000E+000	1,70999E-001	0,00000E+000	7	...........	-32768,00

	72	3,65	1,71766E-001	-5,18593E-006	0,00000E+000	1,71999E-001	0,00000E+000	7	...........	-32768,00

	73	3,7	1,72767E-001	-5,16487E-006	0,00000E+000	1,73000E-001	0,00000E+000	7	...........	-32768,00

	74	3,75	1,73868E-001	-5,16253E-006	0,00000E+000	1,74000E-001	0,00000E+000	7	...........	-32768,00

	75	3,8	1,74769E-001	-5,14649E-006	0,00000E+000	1,75000E-001	0,00000E+000	7	...........	-32768,00

	76	3,85	1,75770E-001	-5,12544E-006	0,00000E+000	1,76000E-001	0,00000E+000	7	...........	-32768,00

	77	3,9	1,76771E-001	-5,11074E-006	0,00000E+000	1,77000E-001	0,00000E+000	7	...........	-32768,00

	78	3,95	1,77872E-001	-5,09102E-006	0,00000E+000	1,78000E-001	0,00000E+000	7	...........	-32768,00

	79	4	1,78773E-001	-5,07833E-006	0,00000E+000	1,79000E-001	0,00000E+000	7	...........	-32768,00

	80	4,05	1,79874E-001	-5,08133E-006	0,00000E+000	1,80000E-001	0,00000E+000	7	...........	-32768,00

	81	4,1	1,80775E-001	-5,06964E-006	0,00000E+000	1,81000E-001	0,00000E+000	7	...........	-32768,00

	82	4,15	1,81876E-001	-5,05694E-006	0,00000E+000	1,82000E-001	0,00000E+000	7	...........	-32768,00

	83	4,2	1,82777E-001	-5,05159E-006	0,00000E+000	1,83000E-001	0,00000E+000	7	...........	-32768,00

	84	4,25	1,83778E-001	-5,02219E-006	0,00000E+000	1,84000E-001	0,00000E+000	7	...........	-32768,00

	85	4,3	1,84879E-001	-5,01918E-006	0,00000E+000	1,85001E-001	0,00000E+000	7	...........	-32768,00

	86	4,35	1,85779E-001	-5,00047E-006	0,00000E+000	1,86001E-001	0,00000E+000	7	...........	-32768,00

	87	4,4	1,86780E-001	-4,99111E-006	0,00000E+000	1,87001E-001	0,00000E+000	7	...........	-32768,00

	88	4,45	1,87781E-001	-4,96973E-006	0,00000E+000	1,88001E-001	0,00000E+000	7	...........	-32768,00

	89	4,5	1,88682E-001	-4,97407E-006	0,00000E+000	1,89001E-001	0,00000E+000	7	...........	-32768,00

	90	4,55	1,89783E-001	-4,96973E-006	0,00000E+000	1,90001E-001	0,00000E+000	7	...........	-32768,00

	91	4,6	1,90784E-001	-4,95302E-006	0,00000E+000	1,91001E-001	0,00000E+000	7	...........	-32768,00

	92	4,65	1,91785E-001	-4,94032E-006	0,00000E+000	1,92001E-001	0,00000E+000	7	...........	-32768,00

	93	4,7	1,92886E-001	-4,92929E-006	0,00000E+000	1,93001E-001	0,00000E+000	7	...........	-32768,00

	94	4,75	1,93887E-001	-4,91292E-006	0,00000E+000	1,94001E-001	0,00000E+000	7	...........	-32768,00

	95	4,8	1,94788E-001	-4,90523E-006	0,00000E+000	1,95001E-001	0,00000E+000	7	...........	-32768,00

	96	4,85	1,95789E-001	-4,88518E-006	0,00000E+000	1,96001E-001	0,00000E+000	7	...........	-32768,00

	97	4,9	1,96790E-001	-4,88318E-006	0,00000E+000	1,97001E-001	0,00000E+000	7	...........	-32768,00

	98	4,95	1,97791E-001	-4,88318E-006	0,00000E+000	1,98002E-001	0,00000E+000	7	...........	-32768,00

	99	5	1,98792E-001	-4,86213E-006	0,00000E+000	1,99002E-001	0,00000E+000	7	...........	-32768,00

	100	5,05	1,99793E-001	-4,86046E-006	0,00000E+000	2,00002E-001	0,00000E+000	7	...........	-32768,00

	101	5,1	2,00794E-001	-4,84041E-006	0,00000E+000	2,01002E-001	0,00000E+000	7	...........	-32768,00

	102	5,15	2,01795E-001	-4,83840E-006	0,00000E+000	2,02002E-001	0,00000E+000	7	...........	-32768,00

	103	5,2	2,02796E-001	-4,82169E-006	0,00000E+000	2,03002E-001	0,00000E+000	7	...........	-32768,00

